Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
ec9102ee-3288-4101-af76-62a48ac4c60a,Trial 1,3c9bbf15-e24e-4cb3-95c5-06820fcfb0f3,Paige

summaryId,activityId,unixTimestampInMs
17032762934-detail,17032762934,1726323951000
17032762934-detail,17032762934,1726324557000
17032762934-detail,17032762934,1726325133000
17032762934-detail,17032762934,1726325672000
17033442708-detail,17033442708,1726326355000
17033442708-detail,17033442708,1726326837000
17033442708-detail,17033442708,1726327229000
17033442708-detail,17033442708,1726327539000
17033442708-detail,17033442708,1726327939000
17033442708-detail,17033442708,1726328288000
17033442708-detail,17033442708,1726329014000
17033442708-detail,17033442708,1726329325000
17033442708-detail,17033442708,1726329630000
17041463138-detail,17041463138,1726406620000
17041463138-detail,17041463138,1726407215000
17041463138-detail,17041463138,1726407747000
17041463138-detail,17041463138,1726408272000
17041463138-detail,17041463138,1726408866000
17041463138-detail,17041463138,1726409391000
17041463138-detail,17041463138,1726409931000
17041463138-detail,17041463138,1726410458000
17041463138-detail,17041463138,1726410987000
17062363837-detail,17062363837,1726614815000
17062363837-detail,17062363837,1726615459000
17062363837-detail,17062363837,1726616052000
17062363837-detail,17062363837,1726616674000
17062363837-detail,17062363837,1726617287000
17065553090-detail,17065553090,1726653843000
17065553090-detail,17065553090,1726654665000
17065553090-detail,17065553090,1726655002000
17065553090-detail,17065553090,1726655540000
17065553090-detail,17065553090,1726655883000
17065553090-detail,17065553090,1726656232000
17065553090-detail,17065553090,1726656554000
17065553090-detail,17065553090,1726656882000
17065553090-detail,17065553090,1726657212000
17065553090-detail,17065553090,1726657664000
17065553090-detail,17065553090,1726657988000
