Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
ec9102ee-3288-4101-af76-62a48ac4c60a,Trial 1,3c9bbf15-e24e-4cb3-95c5-06820fcfb0f3,Paige

timezoneOffsetInMs,unixTimestampInMs,isoDate,breathsPerMinute
-14400000,1726548420000,2024-09-17T00:47:00.000-04:00,19.85
-14400000,1726548960000,2024-09-17T00:56:00.000-04:00,14.55
-14400000,1726549020000,2024-09-17T00:57:00.000-04:00,13.74
-14400000,1726549080000,2024-09-17T00:58:00.000-04:00,12.83
-14400000,1726549140000,2024-09-17T00:59:00.000-04:00,12.44
-14400000,1726549200000,2024-09-17T01:00:00.000-04:00,12.7
-14400000,1726549260000,2024-09-17T01:01:00.000-04:00,12.24
-14400000,1726549320000,2024-09-17T01:02:00.000-04:00,12.89
-14400000,1726549380000,2024-09-17T01:03:00.000-04:00,13.18
-14400000,1726549440000,2024-09-17T01:04:00.000-04:00,12.43
-14400000,1726549500000,2024-09-17T01:05:00.000-04:00,11.3
-14400000,1726549560000,2024-09-17T01:06:00.000-04:00,10.96
-14400000,1726549620000,2024-09-17T01:07:00.000-04:00,10.83
-14400000,1726549680000,2024-09-17T01:08:00.000-04:00,10.86
-14400000,1726549740000,2024-09-17T01:09:00.000-04:00,11.03
-14400000,1726549800000,2024-09-17T01:10:00.000-04:00,12.06
-14400000,1726549860000,2024-09-17T01:11:00.000-04:00,10.47
-14400000,1726549920000,2024-09-17T01:12:00.000-04:00,8.72
-14400000,1726549980000,2024-09-17T01:13:00.000-04:00,7.49
-14400000,1726550040000,2024-09-17T01:14:00.000-04:00,7.11
-14400000,1726550100000,2024-09-17T01:15:00.000-04:00,6.74
-14400000,1726550160000,2024-09-17T01:16:00.000-04:00,6.98
-14400000,1726550220000,2024-09-17T01:17:00.000-04:00,7.28
-14400000,1726550280000,2024-09-17T01:18:00.000-04:00,7.42
-14400000,1726550340000,2024-09-17T01:19:00.000-04:00,7.17
-14400000,1726550400000,2024-09-17T01:20:00.000-04:00,7.18
-14400000,1726550460000,2024-09-17T01:21:00.000-04:00,7.34
-14400000,1726550520000,2024-09-17T01:22:00.000-04:00,8.05
-14400000,1726550580000,2024-09-17T01:23:00.000-04:00,8.49
-14400000,1726550640000,2024-09-17T01:24:00.000-04:00,9.3
-14400000,1726550700000,2024-09-17T01:25:00.000-04:00,9.91
-14400000,1726550760000,2024-09-17T01:26:00.000-04:00,10.18
-14400000,1726550820000,2024-09-17T01:27:00.000-04:00,9.28
-14400000,1726550880000,2024-09-17T01:28:00.000-04:00,8.65
-14400000,1726550940000,2024-09-17T01:29:00.000-04:00,9
-14400000,1726551000000,2024-09-17T01:30:00.000-04:00,9.51
-14400000,1726551060000,2024-09-17T01:31:00.000-04:00,9.15
-14400000,1726551120000,2024-09-17T01:32:00.000-04:00,9.7
-14400000,1726551180000,2024-09-17T01:33:00.000-04:00,8.81
-14400000,1726551240000,2024-09-17T01:34:00.000-04:00,8.2
-14400000,1726551300000,2024-09-17T01:35:00.000-04:00,9.57
-14400000,1726551360000,2024-09-17T01:36:00.000-04:00,10.13
-14400000,1726551420000,2024-09-17T01:37:00.000-04:00,9.14
-14400000,1726551480000,2024-09-17T01:38:00.000-04:00,8.72
-14400000,1726551540000,2024-09-17T01:39:00.000-04:00,8.43
-14400000,1726551600000,2024-09-17T01:40:00.000-04:00,9.03
-14400000,1726551660000,2024-09-17T01:41:00.000-04:00,8.76
-14400000,1726551720000,2024-09-17T01:42:00.000-04:00,9.22
-14400000,1726551780000,2024-09-17T01:43:00.000-04:00,9
-14400000,1726551840000,2024-09-17T01:44:00.000-04:00,9.96
-14400000,1726551900000,2024-09-17T01:45:00.000-04:00,9.81
-14400000,1726551960000,2024-09-17T01:46:00.000-04:00,9.78
-14400000,1726552080000,2024-09-17T01:48:00.000-04:00,9.73
-14400000,1726552140000,2024-09-17T01:49:00.000-04:00,10.51
-14400000,1726552200000,2024-09-17T01:50:00.000-04:00,10.07
-14400000,1726552260000,2024-09-17T01:51:00.000-04:00,9.83
-14400000,1726552320000,2024-09-17T01:52:00.000-04:00,8.9
-14400000,1726552380000,2024-09-17T01:53:00.000-04:00,8.94
-14400000,1726552440000,2024-09-17T01:54:00.000-04:00,10.39
-14400000,1726552500000,2024-09-17T01:55:00.000-04:00,10.04
-14400000,1726552560000,2024-09-17T01:56:00.000-04:00,9.74
-14400000,1726552620000,2024-09-17T01:57:00.000-04:00,10.23
-14400000,1726552680000,2024-09-17T01:58:00.000-04:00,9.51
-14400000,1726552740000,2024-09-17T01:59:00.000-04:00,9.17
-14400000,1726552800000,2024-09-17T02:00:00.000-04:00,9.17
-14400000,1726552860000,2024-09-17T02:01:00.000-04:00,8.93
-14400000,1726552920000,2024-09-17T02:02:00.000-04:00,9.82
-14400000,1726552980000,2024-09-17T02:03:00.000-04:00,9.13
-14400000,1726553040000,2024-09-17T02:04:00.000-04:00,9.15
-14400000,1726553100000,2024-09-17T02:05:00.000-04:00,8.79
-14400000,1726553160000,2024-09-17T02:06:00.000-04:00,8.52
-14400000,1726553220000,2024-09-17T02:07:00.000-04:00,9.64
-14400000,1726553280000,2024-09-17T02:08:00.000-04:00,9.92
-14400000,1726553340000,2024-09-17T02:09:00.000-04:00,9.51
-14400000,1726553400000,2024-09-17T02:10:00.000-04:00,8.73
-14400000,1726553460000,2024-09-17T02:11:00.000-04:00,9.64
-14400000,1726553520000,2024-09-17T02:12:00.000-04:00,9.28
-14400000,1726553580000,2024-09-17T02:13:00.000-04:00,9.77
-14400000,1726553640000,2024-09-17T02:14:00.000-04:00,9.9
