Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
ec9102ee-3288-4101-af76-62a48ac4c60a,Trial 1,3c9bbf15-e24e-4cb3-95c5-06820fcfb0f3,Paige

timezoneOffsetInMs,unixTimestampInMs,isoDate,breathsPerMinute
-14400000,1726294500000,2024-09-14T02:15:00.000-04:00,11.18
-14400000,1726294560000,2024-09-14T02:16:00.000-04:00,11.56
-14400000,1726294620000,2024-09-14T02:17:00.000-04:00,11.82
-14400000,1726294680000,2024-09-14T02:18:00.000-04:00,12.26
-14400000,1726294740000,2024-09-14T02:19:00.000-04:00,11.58
-14400000,1726294800000,2024-09-14T02:20:00.000-04:00,10.84
-14400000,1726294860000,2024-09-14T02:21:00.000-04:00,12.33
-14400000,1726294920000,2024-09-14T02:22:00.000-04:00,13.94
-14400000,1726294980000,2024-09-14T02:23:00.000-04:00,13.95
-14400000,1726295040000,2024-09-14T02:24:00.000-04:00,14.21
-14400000,1726295100000,2024-09-14T02:25:00.000-04:00,13.94
-14400000,1726295160000,2024-09-14T02:26:00.000-04:00,13.46
-14400000,1726295220000,2024-09-14T02:27:00.000-04:00,13.3
-14400000,1726295280000,2024-09-14T02:28:00.000-04:00,12.53
-14400000,1726295340000,2024-09-14T02:29:00.000-04:00,12.38
-14400000,1726295400000,2024-09-14T02:30:00.000-04:00,13.32
-14400000,1726295460000,2024-09-14T02:31:00.000-04:00,14.89
-14400000,1726295520000,2024-09-14T02:32:00.000-04:00,13.09
-14400000,1726295580000,2024-09-14T02:33:00.000-04:00,12.31
-14400000,1726295640000,2024-09-14T02:34:00.000-04:00,13.43
-14400000,1726295700000,2024-09-14T02:35:00.000-04:00,13.07
-14400000,1726295760000,2024-09-14T02:36:00.000-04:00,12.54
-14400000,1726295820000,2024-09-14T02:37:00.000-04:00,12.17
-14400000,1726295880000,2024-09-14T02:38:00.000-04:00,11.46
-14400000,1726295940000,2024-09-14T02:39:00.000-04:00,11.24
-14400000,1726296000000,2024-09-14T02:40:00.000-04:00,12.12
-14400000,1726296060000,2024-09-14T02:41:00.000-04:00,11.48
-14400000,1726296120000,2024-09-14T02:42:00.000-04:00,9.72
-14400000,1726296180000,2024-09-14T02:43:00.000-04:00,7.82
-14400000,1726296240000,2024-09-14T02:44:00.000-04:00,6.82
-14400000,1726296300000,2024-09-14T02:45:00.000-04:00,6.7
-14400000,1726296360000,2024-09-14T02:46:00.000-04:00,6.81
-14400000,1726296420000,2024-09-14T02:47:00.000-04:00,6.92
-14400000,1726296480000,2024-09-14T02:48:00.000-04:00,7.01
-14400000,1726296540000,2024-09-14T02:49:00.000-04:00,7.3
-14400000,1726296600000,2024-09-14T02:50:00.000-04:00,6.78
-14400000,1726296660000,2024-09-14T02:51:00.000-04:00,6.74
-14400000,1726296720000,2024-09-14T02:52:00.000-04:00,7.85
-14400000,1726296780000,2024-09-14T02:53:00.000-04:00,8.32
-14400000,1726296840000,2024-09-14T02:54:00.000-04:00,9.56
-14400000,1726296900000,2024-09-14T02:55:00.000-04:00,10.89
-14400000,1726297020000,2024-09-14T02:57:00.000-04:00,11.61
-14400000,1726297080000,2024-09-14T02:58:00.000-04:00,11.47
-14400000,1726297140000,2024-09-14T02:59:00.000-04:00,11.73
-14400000,1726297200000,2024-09-14T03:00:00.000-04:00,11.67
-14400000,1726297260000,2024-09-14T03:01:00.000-04:00,10.89
-14400000,1726297320000,2024-09-14T03:02:00.000-04:00,10.91
-14400000,1726297380000,2024-09-14T03:03:00.000-04:00,11.12
-14400000,1726297440000,2024-09-14T03:04:00.000-04:00,10.86
-14400000,1726297500000,2024-09-14T03:05:00.000-04:00,11.19
-14400000,1726297560000,2024-09-14T03:06:00.000-04:00,10.57
-14400000,1726297620000,2024-09-14T03:07:00.000-04:00,10.58
-14400000,1726297680000,2024-09-14T03:08:00.000-04:00,11.44
-14400000,1726297740000,2024-09-14T03:09:00.000-04:00,11.34
-14400000,1726297800000,2024-09-14T03:10:00.000-04:00,11.5
-14400000,1726297860000,2024-09-14T03:11:00.000-04:00,11.14
-14400000,1726297920000,2024-09-14T03:12:00.000-04:00,10.23
-14400000,1726297980000,2024-09-14T03:13:00.000-04:00,10.94
-14400000,1726298040000,2024-09-14T03:14:00.000-04:00,11.13
-14400000,1726298100000,2024-09-14T03:15:00.000-04:00,11.22
-14400000,1726298160000,2024-09-14T03:16:00.000-04:00,10.42
-14400000,1726298220000,2024-09-14T03:17:00.000-04:00,11.98
-14400000,1726298280000,2024-09-14T03:18:00.000-04:00,12.95
-14400000,1726298340000,2024-09-14T03:19:00.000-04:00,12.32
-14400000,1726298400000,2024-09-14T03:20:00.000-04:00,12.58
-14400000,1726298460000,2024-09-14T03:21:00.000-04:00,11.68
-14400000,1726298520000,2024-09-14T03:22:00.000-04:00,11.52
-14400000,1726298580000,2024-09-14T03:23:00.000-04:00,12.02
-14400000,1726298640000,2024-09-14T03:24:00.000-04:00,11.55
-14400000,1726298700000,2024-09-14T03:25:00.000-04:00,12.32
-14400000,1726298760000,2024-09-14T03:26:00.000-04:00,12.01
-14400000,1726298820000,2024-09-14T03:27:00.000-04:00,12.44
-14400000,1726298880000,2024-09-14T03:28:00.000-04:00,12.3
-14400000,1726298940000,2024-09-14T03:29:00.000-04:00,11.64
-14400000,1726299000000,2024-09-14T03:30:00.000-04:00,11.81
-14400000,1726299060000,2024-09-14T03:31:00.000-04:00,12.46
-14400000,1726299120000,2024-09-14T03:32:00.000-04:00,11.99
-14400000,1726299180000,2024-09-14T03:33:00.000-04:00,11.56
-14400000,1726299240000,2024-09-14T03:34:00.000-04:00,11.54
-14400000,1726299300000,2024-09-14T03:35:00.000-04:00,12.12
-14400000,1726299360000,2024-09-14T03:36:00.000-04:00,12.37
-14400000,1726299420000,2024-09-14T03:37:00.000-04:00,11.53
-14400000,1726299480000,2024-09-14T03:38:00.000-04:00,11.72
-14400000,1726299540000,2024-09-14T03:39:00.000-04:00,12.77
-14400000,1726299600000,2024-09-14T03:40:00.000-04:00,12
-14400000,1726299660000,2024-09-14T03:41:00.000-04:00,11.77
-14400000,1726299720000,2024-09-14T03:42:00.000-04:00,11.77
-14400000,1726299780000,2024-09-14T03:43:00.000-04:00,11.22
-14400000,1726299840000,2024-09-14T03:44:00.000-04:00,10.92
-14400000,1726299900000,2024-09-14T03:45:00.000-04:00,10.9
-14400000,1726299960000,2024-09-14T03:46:00.000-04:00,11.84
-14400000,1726300020000,2024-09-14T03:47:00.000-04:00,11.4
-14400000,1726300080000,2024-09-14T03:48:00.000-04:00,10.6
-14400000,1726300140000,2024-09-14T03:49:00.000-04:00,10.78
-14400000,1726300200000,2024-09-14T03:50:00.000-04:00,12.32
-14400000,1726300260000,2024-09-14T03:51:00.000-04:00,11.93
-14400000,1726300320000,2024-09-14T03:52:00.000-04:00,11.27
-14400000,1726300380000,2024-09-14T03:53:00.000-04:00,11.09
-14400000,1726300440000,2024-09-14T03:54:00.000-04:00,11.16
-14400000,1726300500000,2024-09-14T03:55:00.000-04:00,10.22
-14400000,1726300560000,2024-09-14T03:56:00.000-04:00,10.72
-14400000,1726300620000,2024-09-14T03:57:00.000-04:00,11.05
-14400000,1726300680000,2024-09-14T03:58:00.000-04:00,10.82
-14400000,1726300740000,2024-09-14T03:59:00.000-04:00,10.04
-14400000,1726300800000,2024-09-14T04:00:00.000-04:00,11.05
-14400000,1726300860000,2024-09-14T04:01:00.000-04:00,10.68
-14400000,1726300920000,2024-09-14T04:02:00.000-04:00,10.47
-14400000,1726300980000,2024-09-14T04:03:00.000-04:00,9.78
-14400000,1726301040000,2024-09-14T04:04:00.000-04:00,10.8
-14400000,1726301100000,2024-09-14T04:05:00.000-04:00,10.3
-14400000,1726301160000,2024-09-14T04:06:00.000-04:00,10.26
-14400000,1726301220000,2024-09-14T04:07:00.000-04:00,10.33
-14400000,1726301280000,2024-09-14T04:08:00.000-04:00,10.94
-14400000,1726301340000,2024-09-14T04:09:00.000-04:00,9.88
-14400000,1726301400000,2024-09-14T04:10:00.000-04:00,10.42
-14400000,1726301460000,2024-09-14T04:11:00.000-04:00,11.48
-14400000,1726301520000,2024-09-14T04:12:00.000-04:00,12.09
-14400000,1726301580000,2024-09-14T04:13:00.000-04:00,11.85
-14400000,1726301640000,2024-09-14T04:14:00.000-04:00,12.98
-14400000,1726301700000,2024-09-14T04:15:00.000-04:00,12.77
-14400000,1726301760000,2024-09-14T04:16:00.000-04:00,11.68
-14400000,1726301820000,2024-09-14T04:17:00.000-04:00,10.92
-14400000,1726301880000,2024-09-14T04:18:00.000-04:00,10.45
-14400000,1726301940000,2024-09-14T04:19:00.000-04:00,10.7
-14400000,1726302000000,2024-09-14T04:20:00.000-04:00,9.72
-14400000,1726302060000,2024-09-14T04:21:00.000-04:00,10.58
-14400000,1726302120000,2024-09-14T04:22:00.000-04:00,11.13
-14400000,1726302180000,2024-09-14T04:23:00.000-04:00,11.24
-14400000,1726302240000,2024-09-14T04:24:00.000-04:00,10.66
-14400000,1726302300000,2024-09-14T04:25:00.000-04:00,10.34
-14400000,1726302360000,2024-09-14T04:26:00.000-04:00,9.93
-14400000,1726302420000,2024-09-14T04:27:00.000-04:00,9.78
-14400000,1726302480000,2024-09-14T04:28:00.000-04:00,9.99
