Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
ec9102ee-3288-4101-af76-62a48ac4c60a,Trial 1,3c9bbf15-e24e-4cb3-95c5-06820fcfb0f3,Paige

timezoneOffsetInMs,unixTimestampInMs,isoDate,breathsPerMinute
-14400000,1726632000000,2024-09-18T00:00:00.000-04:00,8.81
-14400000,1726632060000,2024-09-18T00:01:00.000-04:00,7.72
-14400000,1726632120000,2024-09-18T00:02:00.000-04:00,8.73
-14400000,1726632180000,2024-09-18T00:03:00.000-04:00,9.64
-14400000,1726632240000,2024-09-18T00:04:00.000-04:00,9.81
-14400000,1726632300000,2024-09-18T00:05:00.000-04:00,10.04
-14400000,1726632360000,2024-09-18T00:06:00.000-04:00,10.82
-14400000,1726632420000,2024-09-18T00:07:00.000-04:00,10.28
-14400000,1726632480000,2024-09-18T00:08:00.000-04:00,9.79
-14400000,1726632600000,2024-09-18T00:10:00.000-04:00,11.23
-14400000,1726632660000,2024-09-18T00:11:00.000-04:00,12.72
-14400000,1726632720000,2024-09-18T00:12:00.000-04:00,13.15
-14400000,1726632780000,2024-09-18T00:13:00.000-04:00,14.44
-14400000,1726632840000,2024-09-18T00:14:00.000-04:00,14.46
-14400000,1726632900000,2024-09-18T00:15:00.000-04:00,14.38
-14400000,1726632960000,2024-09-18T00:16:00.000-04:00,13.78
-14400000,1726633020000,2024-09-18T00:17:00.000-04:00,13.38
-14400000,1726633080000,2024-09-18T00:18:00.000-04:00,13.72
-14400000,1726633140000,2024-09-18T00:19:00.000-04:00,13.3
-14400000,1726633200000,2024-09-18T00:20:00.000-04:00,13.06
-14400000,1726633260000,2024-09-18T00:21:00.000-04:00,13.3
-14400000,1726633320000,2024-09-18T00:22:00.000-04:00,13.84
-14400000,1726633380000,2024-09-18T00:23:00.000-04:00,14.34
-14400000,1726633440000,2024-09-18T00:24:00.000-04:00,13.18
-14400000,1726633500000,2024-09-18T00:25:00.000-04:00,11.13
-14400000,1726633560000,2024-09-18T00:26:00.000-04:00,9.75
-14400000,1726633620000,2024-09-18T00:27:00.000-04:00,10.1
-14400000,1726633680000,2024-09-18T00:28:00.000-04:00,10.01
-14400000,1726633740000,2024-09-18T00:29:00.000-04:00,9.77
-14400000,1726633800000,2024-09-18T00:30:00.000-04:00,10.47
-14400000,1726633860000,2024-09-18T00:31:00.000-04:00,11.16
-14400000,1726633920000,2024-09-18T00:32:00.000-04:00,12.06
-14400000,1726633980000,2024-09-18T00:33:00.000-04:00,11.6
-14400000,1726634040000,2024-09-18T00:34:00.000-04:00,10.67
-14400000,1726634100000,2024-09-18T00:35:00.000-04:00,10.19
-14400000,1726634160000,2024-09-18T00:36:00.000-04:00,10.98
-14400000,1726634220000,2024-09-18T00:37:00.000-04:00,10.64
-14400000,1726634280000,2024-09-18T00:38:00.000-04:00,10.22
-14400000,1726634340000,2024-09-18T00:39:00.000-04:00,10.31
-14400000,1726634400000,2024-09-18T00:40:00.000-04:00,10.08
-14400000,1726634460000,2024-09-18T00:41:00.000-04:00,10.03
-14400000,1726634520000,2024-09-18T00:42:00.000-04:00,9.81
-14400000,1726634580000,2024-09-18T00:43:00.000-04:00,10.89
-14400000,1726634640000,2024-09-18T00:44:00.000-04:00,11.66
-14400000,1726634700000,2024-09-18T00:45:00.000-04:00,12.22
-14400000,1726634760000,2024-09-18T00:46:00.000-04:00,13.45
-14400000,1726634820000,2024-09-18T00:47:00.000-04:00,13.72
-14400000,1726634880000,2024-09-18T00:48:00.000-04:00,13.68
-14400000,1726634940000,2024-09-18T00:49:00.000-04:00,13.67
-14400000,1726635000000,2024-09-18T00:50:00.000-04:00,13.76
-14400000,1726635060000,2024-09-18T00:51:00.000-04:00,13.65
-14400000,1726635120000,2024-09-18T00:52:00.000-04:00,13.61
-14400000,1726635180000,2024-09-18T00:53:00.000-04:00,13.65
-14400000,1726635240000,2024-09-18T00:54:00.000-04:00,13.79
-14400000,1726635300000,2024-09-18T00:55:00.000-04:00,13.88
-14400000,1726635360000,2024-09-18T00:56:00.000-04:00,13.46
-14400000,1726635420000,2024-09-18T00:57:00.000-04:00,13.83
-14400000,1726635480000,2024-09-18T00:58:00.000-04:00,14.18
-14400000,1726635540000,2024-09-18T00:59:00.000-04:00,14.18
-14400000,1726635600000,2024-09-18T01:00:00.000-04:00,13.98
-14400000,1726635660000,2024-09-18T01:01:00.000-04:00,14.39
-14400000,1726635720000,2024-09-18T01:02:00.000-04:00,13.82
-14400000,1726635780000,2024-09-18T01:03:00.000-04:00,13.8
-14400000,1726635840000,2024-09-18T01:04:00.000-04:00,14.07
-14400000,1726635900000,2024-09-18T01:05:00.000-04:00,14.36
-14400000,1726635960000,2024-09-18T01:06:00.000-04:00,14.31
-14400000,1726636020000,2024-09-18T01:07:00.000-04:00,14.05
-14400000,1726636080000,2024-09-18T01:08:00.000-04:00,14
-14400000,1726636140000,2024-09-18T01:09:00.000-04:00,14.47
-14400000,1726636200000,2024-09-18T01:10:00.000-04:00,15.09
-14400000,1726636260000,2024-09-18T01:11:00.000-04:00,14.78
-14400000,1726636320000,2024-09-18T01:12:00.000-04:00,14.2
-14400000,1726636380000,2024-09-18T01:13:00.000-04:00,13.42
-14400000,1726636440000,2024-09-18T01:14:00.000-04:00,13.85
-14400000,1726636500000,2024-09-18T01:15:00.000-04:00,14.12
-14400000,1726636560000,2024-09-18T01:16:00.000-04:00,12.61
-14400000,1726636620000,2024-09-18T01:17:00.000-04:00,11.57
-14400000,1726636680000,2024-09-18T01:18:00.000-04:00,10.93
-14400000,1726636740000,2024-09-18T01:19:00.000-04:00,10.81
