Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
ec9102ee-3288-4101-af76-62a48ac4c60a,Trial 1,3c9bbf15-e24e-4cb3-95c5-06820fcfb0f3,Paige

timezoneOffsetInMs,unixTimestampInMs,isoDate,stressLevel,bodyBattery
-14400000,1726372800000,2024-09-15T00:00:00.000-04:00,-1,23
-14400000,1726372980000,2024-09-15T00:03:00.000-04:00,-1,23
-14400000,1726373160000,2024-09-15T00:06:00.000-04:00,-1,23
-14400000,1726373340000,2024-09-15T00:09:00.000-04:00,-1,24
-14400000,1726373520000,2024-09-15T00:12:00.000-04:00,-1,24
-14400000,1726373700000,2024-09-15T00:15:00.000-04:00,-1,24
-14400000,1726373880000,2024-09-15T00:18:00.000-04:00,-1,24
-14400000,1726374060000,2024-09-15T00:21:00.000-04:00,-1,25
-14400000,1726374240000,2024-09-15T00:24:00.000-04:00,-1,25
-14400000,1726374420000,2024-09-15T00:27:00.000-04:00,-2,26
-14400000,1726374600000,2024-09-15T00:30:00.000-04:00,-2,26
-14400000,1726374780000,2024-09-15T00:33:00.000-04:00,31,26
-14400000,1726374960000,2024-09-15T00:36:00.000-04:00,29,26
-14400000,1726375140000,2024-09-15T00:39:00.000-04:00,22,26
-14400000,1726375320000,2024-09-15T00:42:00.000-04:00,24,26
-14400000,1726375500000,2024-09-15T00:45:00.000-04:00,27,26
-14400000,1726375680000,2024-09-15T00:48:00.000-04:00,21,26
-14400000,1726375860000,2024-09-15T00:51:00.000-04:00,19,26
-14400000,1726376040000,2024-09-15T00:54:00.000-04:00,16,26
-14400000,1726376220000,2024-09-15T00:57:00.000-04:00,15,26
-14400000,1726376400000,2024-09-15T01:00:00.000-04:00,17,26
-14400000,1726376580000,2024-09-15T01:03:00.000-04:00,17,26
-14400000,1726376760000,2024-09-15T01:06:00.000-04:00,18,27
-14400000,1726376940000,2024-09-15T01:09:00.000-04:00,19,27
-14400000,1726377120000,2024-09-15T01:12:00.000-04:00,20,27
-14400000,1726377300000,2024-09-15T01:15:00.000-04:00,22,27
-14400000,1726377480000,2024-09-15T01:18:00.000-04:00,24,28
-14400000,1726377660000,2024-09-15T01:21:00.000-04:00,25,28
-14400000,1726377840000,2024-09-15T01:24:00.000-04:00,24,28
-14400000,1726378020000,2024-09-15T01:27:00.000-04:00,22,29
-14400000,1726378200000,2024-09-15T01:30:00.000-04:00,18,29
-14400000,1726378380000,2024-09-15T01:33:00.000-04:00,19,29
-14400000,1726378560000,2024-09-15T01:36:00.000-04:00,19,29
-14400000,1726378740000,2024-09-15T01:39:00.000-04:00,23,29
-14400000,1726378920000,2024-09-15T01:42:00.000-04:00,31,30
-14400000,1726379100000,2024-09-15T01:45:00.000-04:00,24,30
-14400000,1726379280000,2024-09-15T01:48:00.000-04:00,17,31
-14400000,1726379460000,2024-09-15T01:51:00.000-04:00,20,31
-14400000,1726379640000,2024-09-15T01:54:00.000-04:00,19,31
-14400000,1726379820000,2024-09-15T01:57:00.000-04:00,18,32
-14400000,1726380000000,2024-09-15T02:00:00.000-04:00,17,33
-14400000,1726380180000,2024-09-15T02:03:00.000-04:00,16,33
-14400000,1726380360000,2024-09-15T02:06:00.000-04:00,17,33
-14400000,1726380540000,2024-09-15T02:09:00.000-04:00,16,33
-14400000,1726380720000,2024-09-15T02:12:00.000-04:00,21,34
-14400000,1726380900000,2024-09-15T02:15:00.000-04:00,15,34
-14400000,1726381080000,2024-09-15T02:18:00.000-04:00,18,35
-14400000,1726381260000,2024-09-15T02:21:00.000-04:00,17,35
-14400000,1726381440000,2024-09-15T02:24:00.000-04:00,20,36
-14400000,1726381620000,2024-09-15T02:27:00.000-04:00,18,37
-14400000,1726381800000,2024-09-15T02:30:00.000-04:00,19,37
-14400000,1726381980000,2024-09-15T02:33:00.000-04:00,20,37
-14400000,1726382160000,2024-09-15T02:36:00.000-04:00,16,38
-14400000,1726382340000,2024-09-15T02:39:00.000-04:00,18,39
-14400000,1726382520000,2024-09-15T02:42:00.000-04:00,23,39
-14400000,1726382700000,2024-09-15T02:45:00.000-04:00,22,40
-14400000,1726382880000,2024-09-15T02:48:00.000-04:00,20,40
-14400000,1726383060000,2024-09-15T02:51:00.000-04:00,17,40
-14400000,1726383240000,2024-09-15T02:54:00.000-04:00,16,41
-14400000,1726383420000,2024-09-15T02:57:00.000-04:00,15,42
-14400000,1726383600000,2024-09-15T03:00:00.000-04:00,12,42
-14400000,1726383780000,2024-09-15T03:03:00.000-04:00,12,43
-14400000,1726383960000,2024-09-15T03:06:00.000-04:00,10,44
